J0522-364,PKS 0521-365,80.7416,-36.4586,ExtraGalactic-AGN,0.019123,5.464
J0529-328,TV Col,82.3564,-32.8178,Galactic-Compact-Binary-WD,-0.014508,-4.145
J0530+135,PKS 0528+134,82.7351,13.532,ExtraGalactic-AGN,,-1
J0532-663,"LMC X-4,HDE 269743",83.2075,-66.3705,Galactic-Compact-Binary-Pulsar,0.022141,6.326
J0535-053,"M 42,Orion Nebula",83.822083,-5.391111,Galactic-Star,0.020687,5.911
J0534+220,"Crab,M 1",83.6332,22.0145,Galactic-SNR,3.583022,1023.721
J0535-668,"1A 0535-66,RBS 666",83.92,-66.865,Galactic-Compact-Binary-NS/BH,,-1
J0537-691,PSR J0537-6910,84.4475,-69.1722,Galactic-Compact-Isolated,,-1
J0538+263,"1A 0535+262,V725 Tau",84.727417,26.315806,Galactic-Compact-Binary-Pulsar,0.010671,3.049
J0538-440,"PKS 0537-441,HB89 0537-441",84.7098,-44.0858,ExtraGalactic-AGN,,-1
J0538-640,"LMC X-3,RBS 674",84.7346,-64.0842,Galactic-Compact-Binary-BH,0.003507,1.002
J0539-697,"LMC X-1,NGC 2078",84.9146,-69.7435,Galactic-Compact-Binary-BH,0.063254,18.073
J0541-684,XMMU J054134.7-682550,85.3946,-68.4306,NA,,-1
J0540-019,zeta Ori,85.18969443,-1.94257359,Galactic-Star,-0.03399,-9.711
J0552-074,NGC 2110,88.0474,-7.4562,ExtraGalactic-AGN,-0.008257,-2.359
J0554+464,MCG +08-11-011,88.7235,46.4394,ExtraGalactic-AGN,-0.01761,-5.031
J0616+224,IC 443,94.2092,22.4708,Galactic-SNR,0.030828,8.808
J0617+091,"H 0614+091,V1055 Ori",94.2804,9.1369,Galactic-Compact-Binary-NS/BH,0.178361,50.96
J0622-003,"1A 0620-00,V616 Mon",95.685417,-0.345556,Galactic-Compact-Binary-BH,0.007753,2.215
J0626-536,"ACO 3391,2E 0625.4-5339",96.5642,-53.6811,ExtraGalactic-Cluster_of_Galaxies,-0.000286,-0.082
J0632+058,"MWC 148,HESS J0632+057",98.2469,5.8003,Galactic-Compact-Binary-NS/BH,-0.048767,-13.933
J0650+250,"1ES 0647+25.0,QSO B0647+250",102.6942,25.05,ExtraGalactic-AGN,0.051574,14.735
J0658-072,"MXB 0656-072,2E 0655.8-0708,XTE J0658-073,3A 0656-072",104.5721,-7.2098,Galactic-Compact-Binary-NS/BH,0.011461,3.275
J0721+713,"S5 0716+71,HB89 0716+714",110.4727,71.3434,ExtraGalactic-AGN,-0.118848,-33.957
J0738+177,"PKS 0735+17,HB89 0735+178",114.5308,17.7053,ExtraGalactic-AGN,,-1
J0739+016,HB89 0736+017,114.8251,1.6179,ExtraGalactic-AGN,,-1
J0742+498,"Mrk 79,UGC 3973",115.6367,49.8097,ExtraGalactic-AGN,,-1
J0747-192,"ClG 0745-1910,4U 0739-19",116.8805,-19.2944,ExtraGalactic-Cluster_of_Galaxies,0.037854,10.815
J0748-677,"EXO 0748-676,UY Vol",117.1408,-67.7514,Galactic-Compact-Binary-NS,0.001914,0.547
J0757+099,PKS 0754+101,119.277917,9.943056,ExtraGalactic-AGN,,-1
J0809+523,"1ES 0806+524,SDSS J080949.18+521858.2",122.4549,52.3162,ExtraGalactic-AGN,,-1
J0815-569,4U 0814-56,123.75,-56.9,Unknown,,-1
J0817-075,Abell 644,124.3521,-7.5128,ExtraGalactic-Cluster_of_Galaxies,-0.0485,-13.857
J0824-429,"Pup A,1ES 0821-426,SAXWFC J0823.2-4250.1",126.0292,-42.9967,Galactic-SNR,0.028055,8.016
J0830+241,"OJ 248,QSO B0827+2421,FBQS J083052.0+241059",127.717,24.1833,ExtraGalactic-AGN,,-1
J0831+044,HB89 0829+046,127.9537,4.4942,ExtraGalactic-AGN,,-1
J0835-431,GS 0834-430,128.9792,-43.185,Galactic-Compact-Binary-Pulsar,0.030924,8.835
J0835-451,"Vela Pulsar and SNR,HU Vel",128.836083,-45.176444,Galactic-Compact-Isolated,0.156089,44.597
J0840-450,IGR J08408-4503,130.1991,-45.0584,Galactic-Compact-Binary-NS,,-1
J0841+708,"HB89 0836+710,S5 0836+71",130.3515,70.895,ExtraGalactic-AGN,,-1
J0854+201,OJ 287,133.7036,20.1085,ExtraGalactic-AGN,0.019551,5.586
J0902-405,"Vela X-1,GP Vel",135.5286,-40.5547,Galactic-Compact-Binary-Pulsar,0.210528,60.151
J0904-323,T Pyx,136.1729,-32.3799,Galactic-Compact-Binary-WD,,-1
J0908-096,Abell 754,137.15,-9.63,ExtraGalactic-Cluster_of_Galaxies,0.069005,19.716
J0920-552,"1H 0918-548,1RXS J092026.2-551224",140.1123,-55.2069,Galactic-Compact-Binary-NS/BH,0.003946,1.127
J0911-507,1FGL J0910.4-5044,137.7507,-50.7966,Others,,-1
J0922-632,2S 0921-63,140.6467,-63.294,Galactic-Compact-Binary-NS/BH,0.000192,0.055
J0924-316,4U 0923-31,141.05,-31.67,Unknown,0.036566,10.447
J0925+522,Mrk 110,141.3036,52.2863,ExtraGalactic-AGN,0.02895,8.271
J0929-313,"XTE J0929-314,INTREF 390",142.325,-31.385,Galactic-Compact-Binary-NS/BH,,-1
J0947-309,MCG -05-23-016,146.9174,-30.9489,ExtraGalactic-AGN,0.012782,3.652
J0955+696,"M 82,NGC 3031",148.9675,69.6802,ExtraGalactic-Galaxy,-0.019587,-5.596
J0958+655,"S4 0954+65,HB89 0954+658",149.6969,65.5652,ExtraGalactic-AGN,,-1
J1009-582,"GRO J1008-57,SAXWFC J1009.7-5817.6",152.4417,-58.2922,Galactic-Compact-Binary-Pulsar,0.01207,3.449
J1015+494,1ES 1011+496,153.7674,49.4335,ExtraGalactic-AGN,-0.047302,-13.515
J1023+198,NGC 3227,155.8775,19.8649,ExtraGalactic-AGN,0.020863,5.961
J1031+508,"1ES 1028+511,2MASX J10311847+5053358",157.8271,50.8933,ExtraGalactic-AGN,,-1
J1036-275,Abell 1060,159.18,-27.53,ExtraGalactic-Cluster_of_Galaxies,,-1
J1045-596,Eta Car,161.2633,-59.6857,Galactic-Star,0.021979,6.28
J1050-598,"1E 1048.1-5937,2E 1048.1-5937",162.5372,-59.8889,Galactic-Compact-Isolated,,-1
J1053+494,"RX J1053.7+4929,2E 1050.7+4946",163.4339,49.4989,ExtraGalactic-AGN,0.193258,55.217
J1103-234,"1ES 1101-23.2,4U 1057-21,6dFGS gJ110337.6-232931",165.9065,-23.4917,ExtraGalactic-AGN,0.00986,2.817
J1104+382,Mrk 421,166.1138,38.2088,ExtraGalactic-AGN,0.176691,50.483
J1106+725,NGC 3516,166.6979,72.5685,ExtraGalactic-AGN,0.10873,31.066
J1117+202,RGB J1117+202,169.276,20.2354,ExtraGalactic-AGN,0.029811,8.517
J1118+480,"XTE J1118+480,KV UMa",169.5454,48.0369,Galactic-Compact-Binary-NS,0.024623,7.035
J1120-619,"1A 1118-616,2E 2448",170.2384,-61.9168,Galactic-Compact-Binary-NS/BH,,-1
J1121-606,"Cen X-3,V779 Cen",170.3157,-60.623,Galactic-Compact-Binary-Pulsar,0.038171,10.906
J1126-686,"GRS 1124-68,GU Mus,GS 1124-683,Nova Muscae 1991",171.6108,-68.67564,Galactic-Compact-Binary-BH,,-1
J1130+382,"B2 1128+38,B3 1128+385",172.722,38.2552,ExtraGalactic-AGN,,-1
J1130-148,"QSO J1130-1449,PKS 1127-14",172.5294,-14.8243,ExtraGalactic-AGN,,-1
J1136+676,RGB J1136+676,174.1253,67.6179,ExtraGalactic-AGN,0.024469,6.991
J1136+701,Mrk 180,174.11,70.1576,ExtraGalactic-AGN,,-1
J1139-377,NGC 3783,174.7572,-37.7386,ExtraGalactic-AGN,-0.00467,-1.334
J1139-653,"GT Mus,4U 1137-65",174.8733,-65.3978,Galactic-Star,0.00244,0.697
J1143+716,DO Dra,175.9104,71.6891,Galactic-Compact-Binary-WD,0.280142,80.041
J1144+196,Abell 1367,176.1858,19.6997,ExtraGalactic-Cluster_of_Galaxies,,-1
J1147-619,"1E 1145.1-6141,3A 1145-616,V830 Cen",176.8692,-61.9539,Galactic-Compact-Binary-NS/BH,0.051302,14.658
J1148-622,"H 1145-619,V801 Cen",177.0001,-62.2069,Galactic-Star,0.041729,11.923
J1159+292,"4C 29.45,FBQS J1159+2914",179.8826,29.2455,ExtraGalactic-AGN,,-1
J1203+445,NGC 4051,180.79,44.531,ExtraGalactic-AGN,0.295353,84.387
J1210+394,NGC 4151,182.6357,39.4057,ExtraGalactic-AGN,0.073774,21.078
J1211+227,"RX J1211.9+2242,SDSS J121158.63+224232.9",182.9943,22.7092,ExtraGalactic-AGN,,-1
J1213-648,"4U 1210-64,SWIFT J1213.2-6458",183.45,-64.8383,Galactic-Compact-Binary-NS,-0.00324,-0.926
J1218+298,"Mrk 766,NGC 4253",184.6104557,29.8128722,ExtraGalactic-AGN,,-1
J1218+473,"M 106,NGC 4258",184.7396,47.304,ExtraGalactic-AGN,,-1
J1221+282,"ON 231,W Com",185.3820438,28.2329167,ExtraGalactic-AGN,0.089436,25.553
J1221+301,"1ES 1218+304,FBQS J1221+3010",185.3414208,30.176975,ExtraGalactic-AGN,0.03096,8.846
J1222+042,"4C 4.42,HB89 1219+044",185.594,4.221,ExtraGalactic-AGN,-0.027483,-7.852
J1226-627,"GX 301-2,BP Cru",186.6567,-62.7706,Galactic-Compact-Binary-Pulsar,0.06022,17.206
J1229+020,3C 273,187.2779,2.0524,ExtraGalactic-AGN,0.010088,2.882
J1230+123,M 87,187.7059,12.3911,ExtraGalactic-AGN,0.053288,15.225
J1239+047,1RXS J123933.9+044308,189.8913,4.7189,Others,,-1
J1239-053,NGC 4593,189.9143,-5.3443,ExtraGalactic-AGN,,-1
J1242-630,HD110432,190.7093,-63.0586,Galactic-Star,,-1
J1246-257,PKS 1244-255,191.695,-25.797,ExtraGalactic-AGN,,-1
J1248-413,"Centaurus Cluster,Abell 3526",192.2158,-41.3058,ExtraGalactic-Cluster_of_Galaxies,-0.031243,-8.927
J1249-590,"1A 1246-588,1RXS J124938.0-590525",192.415,-59.087,Galactic-Compact-Binary-NS/BH,0.017577,5.022
J1252-292,EX Hya,193.1021,-29.2492,Galactic-Compact-Binary-WD,-0.033209,-9.488
J1256-057,3C 279,194.0465,-5.7893,ExtraGalactic-AGN,-0.065909,-18.831
J1257-692,"4U 1254-690,GR Mus",194.405,-69.2892,Galactic-Compact-Binary-NS/BH,0.082871,23.677
J1259+279,Coma Cluster,194.9531,27.9807,ExtraGalactic-Cluster_of_Galaxies,0.067562,19.303
J1301-616,GX 304-1,195.3212,-61.6018,Galactic-Compact-Binary-Pulsar,0.00639,1.826
J1302-638,PSR B1259-63 with IGR J13020-6359,195.6986,-63.8357,Galactic-Compact-Binary-Pulsar,0.030155,8.616
